order_Event_Type_Code,order_Receiving_Firm_MPID,order_Receiving_Firm_Order_Received_Date,orderReceivingFirmOrderReceiveDate,orderReceivingFirmOrderReceiveTime,order_Receiving_Firm_Order_ID,firm_ROE_ID,routing_Firm_MPID,routed_Order_ID,order_Received_Timestamp,issue_Symbol_ID,buy_Sell_Code,limit_Price,expiration_Date,special_Handling_Code_1,special_Handling_Code_2,special_Handling_Code_3,trading_Session_Code,receiving_Department_ID,originating_Department_ID,account_Type_Code,program_Trading_Code,arbitrage_Code,sent_to_Routed_Order_ID,sent_to_Firm_MPID,order_Sent_Timestamp,routed_Shares_Quantity,destination_Code,order_Cancel_Timestamp,cancelled_by_Flag,shares_Quantity,information_Barrier_ID,routed_Order_Type_Indicator,route_Price,ISO_Indicator,order_Origination_Code,exchange_Participant_ID,time_in_Force_Code,recordId,businessDate,sourceSystem,userId,currencyCode
OMR,RBCD-Match-D3,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,,T,4007,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D4,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,UTO,T,4008,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D5,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,UTO,T,4014.7, ,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D6,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NI54028,,UTO,T,4015.7, ,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D7,,,131216700,NCI30019,NCI100019,RCMA,NI54028,,,T,4016.7,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D8,,,131216700,NCI30019,NCI100019,RCMA,NI54028,,,T,4017.7,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019.7,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D9,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NI54028,,UTO,T,4018.7,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,GMRA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D10,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NI54028,,UTO,T,4019.7,13022018,,,,ALL,P,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D11,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NI540,,UTO,T,4020.1,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180218,GTS,prlb0ots,USD
OMR,RBCD-Match-D12,,2/13/2018,131216700,NCI30019,NCI100019,,NI54028,,UTO,T,4011,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180218,GTS,prlb0ots,USD
OMR,RBCD-Match-D12,,2/13/2018,131216700,NCI30019,NCI100019,,NI54028,,UTO,T,4012,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY, ,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D15,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,UTO,T,4012,13022018,,,,ALL,T,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY, ,20180213,GTS,prlb0ots,USD
,RBCD-Match-D16,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,UTO,T,4019.7,13022018,,,,ALL,P,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D17,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,UTO,T,4019.7,13022018,,,,ALL,P,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD
OMR,RBCD-Match-D18,,2/13/2018,131216700,NCI30019,NCI100019,RCMA,NCI4028,,UTO,T,4019.7,13022018,,,,ALL,P,T,O,N,N,NCI5019,TBCD,,130,TT,,C,130,RCMA,L,4007.6,,X,RBCD,DAY,5019,20180213,GTS,prlb0ots,USD